Title,Content,CreationDate,Score,Post(id),Author(id)
Are there any free fraktura fonts available for LaTeX?,"<p>Where can I find them?</p>
",01/08/2010 14:56,8,1,115
sagetex plotting error,"<p>Plotting error problem closed.</p>
",01/02/2017 01:02,1,2,898
How can I generate the ~ symbol in LaTeX?,"<p>Please help, I using TeXworks.</p>
",06/09/2018 12:17,0,3,898
What is the best way to typeset an algorithm with several procedures?,"<p>The title question sums it all.</p>
",15/02/2011 13:14,1,4,571
What is the difference between \fboxsep=1cm and \setlength{\fboxsep}{1cm}?,"<p>Question has been written above.</p>
",26/12/2010 19:28,14,5,444
How do you write Urs Hölzle in LaTeX and in BibTeX?,"<p>I don't know how to use Unicode.</p>
",24/05/2016 23:25,1,6,840
Changing math font to OTF in XeTeX using plaintex-format,"<p>How does one change the math font?</p>
",08/10/2010 09:53,7,7,464
Printing British Symbol £?,"<p>How does one print the '£' symbol? </p>
",15/09/2011 13:13,3,8,295
Is there a common set of packages that is available in every distribution?,"<p>Or at least in most distributions...</p>
",10/08/2010 06:35,8,9,253
What are some useful packages in lyx for writing thesis?,"<p>Useful packages and how to use them. </p>
",13/11/2014 06:16,1,10,759
How to configure kile in texlive 2010?,"<p>How to configure kile in texlive 2010?</p>
",10/01/2011 00:10,3,11,655
About symbols size in physics package,"<p>Is it possible to change symbols size?</p>
",14/02/2020 18:03,0,12,343
"What does the phrase ""Underfull \hbox (badness 10000) in paragraph"" actually mean?","<p>What does the actual phrase above mean?</p>
",15/10/2016 16:15,33,13,171
how to enumerate theorems using letters?,"<p>how to enumerate theorems using letters?</p>
",16/08/2010 21:08,13,14,123
Should it be $\mathbb{N^+}$ or $\mathbb{N}^+$ for positive natural numbers?,"<p>Or do they give exactly the same result?</p>
",29/04/2019 16:23,1,15,413
Is there any advisory board in TeX world?,"<p>Is there any advisory board in TeX world? </p>
",06/08/2013 09:24,0,16,135
Is having a strong background in plain TeX a prerequisite to learn how to work with PSTricks or PostScript internal details?,"<p>Question has been elaborated in the title.</p>
",28/12/2010 17:12,2,17,282
Provide smallcaps bold macro,"<p>please smallcaps bold tex coding provided?</p>
",18/01/2018 12:06,0,18,97
"I tried to define x' as x' = x/2, but the character ' is not possible as it seems, What character can I use?","<p>Please tell me how denote x_prime as in x'</p>
",13/05/2020 15:05,0,19,131
What's a clean way of installing a newer version of latex on Ubuntu via packages?,"<p>Newer than the repo version that is (2015).</p>
",14/07/2016 16:51,3,20,64
How to embed a video in beamer and reproduce it by using Okular?,"<p>A step by step tutorial will be appreciated!</p>
",26/06/2015 13:26,1,21,495
How to jump to the next/prev section in vim-latex?,"<p>Could not quickly find the answer in google.</p>
",25/01/2016 09:29,2,22,446
How do you get a non-italic pound sign? (£),"<p>How do you get a non-italic pound sign? (£)</p>
",25/12/2016 01:41,5,23,799
How do I get a centered equation when I use \documentclass[fleqn]{article}?,"<p>Notice I want my equation to have numbering.</p>
",17/08/2018 19:31,0,24,882
"Is there any way to draw chemical structures using latex? Like , naphthalene?","<p>Draw some examples with napthol, phenol etc </p>
",21/03/2019 08:25,0,25,727
Is there an \arrayrulecolor-like command to change the rule color of \fbox?,"<p><em>The question has been written above.</em></p>
",27/12/2010 01:11,6,26,4
